"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT","MIRTYS_KITA"
70100,NA,"Rokiškio r.",NA,NA,NA,NA,3,0,3,0,3,0,2020-06-29 06:52:26,0,0,3,10.7,28070,0,0,0,1.5,0
70101,NA,"Šakių r.",NA,NA,NA,NA,4,2,2,0,3,1,2020-06-29 06:52:26,0,0,4,15,26698,0,0,0,1.5,0
70102,NA,"Panevėžio r.",NA,NA,NA,NA,8,5,3,0,7,1,2020-06-29 06:52:27,0,0,8,22.6,35324,0,0,0,1.5,0
70103,NA,"Trakų r.",NA,NA,NA,NA,6,6,0,1,5,0,2020-06-29 06:52:28,0,0,6,18.4,32546,3.1,1,3.1,1.5,0
70104,NA,"Kupiškio r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-06-29 06:52:28,0,0,1,6.1,16356,0,0,0,1.5,0
70105,NA,"Skuodo r.",NA,NA,NA,NA,3,1,2,0,3,0,2020-06-29 06:52:29,0,0,3,18.7,16078,0,0,0,1.5,0
70106,NA,"Palangos m.",NA,NA,NA,NA,12,6,6,1,10,1,2020-06-29 06:52:30,0,0,12,74.8,16046,6.2,0,0,1.5,0
70107,NA,"Pagėgių",NA,NA,NA,NA,1,0,1,0,1,0,2020-06-29 06:52:31,0,0,1,13.7,7288,0,0,0,1.5,0
70108,NA,"Šalčininkų r.",NA,NA,NA,NA,14,5,9,3,11,0,2020-06-29 06:52:31,0,0,14,45.9,30520,9.8,1,3.3,1.5,0
70109,NA,"Vilniaus r.",NA,NA,NA,NA,288,103,185,49,234,3,2020-06-29 06:52:32,0,0,288,287.5,100158,48.9,5,5,1.5,2
70110,NA,"Švenčionių r.",NA,NA,NA,NA,11,7,4,1,10,0,2020-06-29 06:52:33,0,0,11,48,22932,4.4,0,0,1.5,0
70111,NA,"Zarasų r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-06-29 06:52:34,0,0,1,6.7,14916,0,0,0,1.5,0
70112,NA,"Kėdainių r.",NA,NA,NA,NA,3,0,3,2,1,0,2020-06-29 06:52:35,0,0,3,6.6,45285,4.4,2,4.4,1.5,0
70113,NA,"Ukmergės r.",NA,NA,NA,NA,88,28,60,0,79,9,2020-06-29 06:52:36,0,0,88,262.9,33471,0,0,0,1.5,0
70114,NA,"Kelmės r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-06-29 06:52:36,0,0,2,7.9,25382,0,0,0,1.5,0
70115,NA,"Širvintų r.",NA,NA,NA,NA,19,11,8,12,6,0,2020-06-29 06:52:37,0,0,19,126,15076,79.6,3,19.9,1.5,1
70116,NA,"Kalvarijos",NA,NA,NA,NA,5,2,3,0,4,0,2020-06-29 06:52:38,0,0,5,49.1,10190,0,0,0,1.5,1
70117,NA,"Kauno r.",NA,NA,NA,NA,21,14,7,0,21,0,2020-06-29 06:52:39,0,0,21,21.8,96441,0,0,0,1.5,0
70118,NA,"Šilutės r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-06-29 06:52:40,0,0,7,18.6,37637,0,0,0,1.5,0
70119,NA,"Tauragės r.",NA,NA,NA,NA,9,5,4,0,9,0,2020-06-29 06:52:40,0,0,9,23.8,37805,0,0,0,1.5,0
70120,NA,"Lazdijų r.",NA,NA,NA,NA,5,2,3,0,5,0,2020-06-29 06:52:41,0,0,5,27.3,18331,0,0,0,1.5,0
70121,NA,"Jurbarko r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-06-29 06:52:42,0,0,2,8.1,24822,0,0,0,1.5,0
70122,NA,"Elektrėnų",NA,NA,NA,NA,7,2,5,3,4,0,2020-06-29 06:52:43,0,0,7,29.2,23992,12.5,0,0,1.5,0
70123,NA,"Neringos",NA,NA,NA,NA,1,1,0,0,1,0,2020-06-29 06:52:43,0,0,1,28.3,3530,0,0,0,1.5,0
70124,NA,"Mažeikių r.",NA,NA,NA,NA,7,4,3,0,6,1,2020-06-29 06:52:44,0,0,7,13.7,51067,0,0,0,1.5,0
70125,NA,"Ignalinos r.",NA,NA,NA,NA,5,1,4,0,5,0,2020-06-29 06:52:45,0,0,5,34.6,14433,0,0,0,1.5,0
70126,NA,"Telšių r.",NA,NA,NA,NA,11,6,5,1,8,2,2020-06-29 06:52:46,0,0,11,28,39317,2.5,0,0,1.5,0
70127,NA,"Plungės r.",NA,NA,NA,NA,8,5,3,1,7,0,2020-06-29 06:52:47,0,0,8,24.3,32987,3,0,0,1.5,0
70128,NA,"Kretingos r.",NA,NA,NA,NA,60,22,38,0,57,3,2020-06-29 06:52:47,0,0,60,160.3,37427,0,0,0,1.5,0
70129,NA,"Varėnos r.",NA,NA,NA,NA,1,1,0,0,0,1,2020-06-29 06:52:48,0,0,1,4.8,20840,0,0,0,1.5,0
70130,NA,"Alytaus r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-06-29 06:52:49,0,0,7,27,25887,0,0,0,1.5,0
70131,NA,"Raseinių r.",NA,NA,NA,NA,6,1,5,0,5,1,2020-06-29 06:52:50,0,0,6,19.2,31225,0,0,0,1.5,0
70132,NA,"Vilniaus m.",NA,NA,NA,NA,498,219,279,109,364,20,2020-06-29 06:52:51,0,0,498,88.6,562030,19.4,24,4.3,1.5,5
70133,NA,"Šilalės r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-06-29 06:52:52,0,0,3,13.7,21887,0,0,0,1.5,0
70134,NA,"Klaipėdos m.",NA,NA,NA,NA,278,93,185,11,249,18,2020-06-29 06:52:53,0,0,278,186.4,149157,7.4,1,0.7,1.5,0
70135,NA,"Visagino",NA,NA,NA,NA,3,1,2,0,3,0,2020-06-29 06:52:54,0,0,3,16.4,18250,0,0,0,1.5,0
70136,NA,"Pasvalio r.",NA,NA,NA,NA,4,3,1,1,3,0,2020-06-29 06:52:54,0,0,4,17.5,22816,4.4,0,0,1.5,0
70137,NA,"Panevėžio m.",NA,NA,NA,NA,22,13,9,1,20,1,2020-06-29 06:52:55,0,0,22,25.6,85878,1.2,0,0,1.5,0
70138,NA,"Šiaulių m.",NA,NA,NA,NA,14,9,5,1,12,1,2020-06-29 06:52:56,0,0,14,13.8,101514,1,0,0,1.5,0
70139,NA,"Birštono",NA,NA,NA,NA,0,0,0,0,0,0,2020-06-29 06:52:56,0,0,0,0,4069,0,0,0,1.5,0
70140,NA,"Pakruojo r.",NA,NA,NA,NA,0,0,0,0,0,0,2020-06-29 06:52:56,0,0,0,0,18606,0,0,0,1.5,0
61,NA,"Kita",NA,NA,NA,NA,0,0,0,0,0,0,2020-06-29 06:56:09,0,0,0,0,0,0,0,0,1.5,0
