"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14","MIRTYS_KITA"
1,"82","Utenos r.","9","Utenos apskr.",NA,10,5,5,1,9,0,2020-09-23 06:45:13,1,0
2,"49","Kaišiadorių r.","2","Kauno apskr.",NA,10,5,5,6,4,0,2020-09-23 06:45:15,1,0
3,"39","Vilkaviškio r.","4","Marijampolės apskr.",NA,10,5,5,2,7,1,2020-09-23 06:45:16,2,0
4,"69","Prienų r.","2","Kauno apskr.",NA,29,11,18,6,22,1,2020-09-23 06:45:18,1,0
5,"46","Jonavos r.","2","Kauno apskr.",NA,20,7,13,1,19,0,2020-09-23 06:45:19,0,0
6,"74","Rietavo","8","Telšių apskr.",NA,6,4,2,0,6,0,2020-09-23 06:45:20,0,0
7,"18","Marijampolės","4","Marijampolės apskr.",NA,93,43,50,9,80,4,2020-09-23 06:45:22,6,0
8,"19","Kauno m.","2","Kauno apskr.",NA,429,232,197,240,181,7,2020-09-23 06:45:24,58,1
9,"11","Alytaus m.","1","Alytaus apskr.",NA,36,21,15,6,29,1,2020-09-23 06:45:26,5,0
10,"15","Druskininkų","1","Alytaus apskr.",NA,1,0,1,0,1,0,2020-09-23 06:45:27,0,0
11,"47","Joniškio r.","6","Šiaulių apskr.",NA,16,9,7,1,14,1,2020-09-23 06:45:28,1,0
12,"58","Kazlų Rūdos","4","Marijampolės apskr.",NA,3,0,3,0,3,0,2020-09-23 06:45:30,0,0
13,"36","Biržų r.","5","Panevėžio apskr.",NA,19,9,10,7,12,0,2020-09-23 06:45:31,7,0
14,"91","Šiaulių r.","6","Šiaulių apskr.",NA,33,14,19,21,11,1,2020-09-23 06:45:33,19,0
15,"55","Klaipėdos r.","3","Klaipėdos apskr.",NA,87,42,45,15,68,4,2020-09-23 06:45:34,3,0
16,"34","Anykščių r.","9","Utenos apskr.",NA,10,4,6,0,10,0,2020-09-23 06:45:36,0,0
17,"32","Akmenės r.","6","Šiaulių apskr.",NA,14,7,7,9,5,0,2020-09-23 06:45:37,7,0
