"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT","MIRTYS_KITA"
85489,NA,"Utenos r.",NA,NA,NA,NA,8,4,4,0,8,0,2020-08-23 06:50:08,0,0,8,21.5,37179,0,0,0,13.7,0
85490,NA,"Kaišiadorių r.",NA,NA,NA,NA,8,4,4,5,3,0,2020-08-23 06:50:09,0,0,8,27.1,29526,16.9,5,16.9,13.7,0
85491,NA,"Vilkaviškio r.",NA,NA,NA,NA,8,4,4,0,7,1,2020-08-23 06:50:10,0,0,8,23.1,34660,0,0,0,13.7,0
85492,NA,"Prienų r.",NA,NA,NA,NA,24,8,16,16,7,1,2020-08-23 06:50:11,0,0,24,93,25802,62,6,23.3,13.7,0
85493,NA,"Jonavos r.",NA,NA,NA,NA,20,7,13,7,13,0,2020-08-23 06:50:12,0,0,20,48.6,41163,17,2,4.9,13.7,0
85494,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-08-23 06:50:13,0,0,6,82.7,7258,0,0,0,13.7,0
85495,NA,"Marijampolės",NA,NA,NA,NA,83,37,46,3,76,4,2020-08-23 06:50:14,0,0,83,154.4,53772,5.6,1,1.9,13.7,0
85496,NA,"Kauno m.",NA,NA,NA,NA,316,176,140,201,109,5,2020-08-23 06:50:15,0,0,316,109.2,289380,69.5,96,33.2,13.7,1
85497,NA,"Alytaus m.",NA,NA,NA,NA,28,17,11,0,27,1,2020-08-23 06:50:16,0,0,28,56.1,49888,0,0,0,13.7,0
85498,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,0,1,0,2020-08-23 06:50:17,0,0,1,5.2,19109,0,0,0,13.7,0
85499,NA,"Joniškio r.",NA,NA,NA,NA,15,8,7,0,14,1,2020-08-23 06:50:18,0,0,15,72.4,20726,0,0,0,13.7,0
85500,NA,"Kazlų Rūdos",NA,NA,NA,NA,3,0,3,0,3,0,2020-08-23 06:50:19,0,0,3,26.5,11337,0,0,0,13.7,0
85501,NA,"Biržų r.",NA,NA,NA,NA,10,5,5,0,10,0,2020-08-23 06:50:20,0,0,10,44,22718,0,0,0,13.7,0
85502,NA,"Šiaulių r.",NA,NA,NA,NA,12,7,5,1,10,1,2020-08-23 06:50:21,0,0,12,29,41442,2.4,0,0,13.7,0
85503,NA,"Klaipėdos r.",NA,NA,NA,NA,70,33,37,11,55,4,2020-08-23 06:50:22,0,0,70,116.4,60139,18.3,3,5,13.7,0
85504,NA,"Anykščių r.",NA,NA,NA,NA,8,3,5,0,8,0,2020-08-23 06:50:23,0,0,8,34.7,23034,0,0,0,13.7,0
85505,NA,"Akmenės r.",NA,NA,NA,NA,7,3,4,2,5,0,2020-08-23 06:50:23,0,0,7,37.3,18764,10.7,2,10.7,13.7,0
85506,NA,"Molėtų r.",NA,NA,NA,NA,17,5,12,12,5,0,2020-08-23 06:50:24,0,0,17,99.1,17153,70,6,35,13.7,0
85507,NA,"Radviliškio r.",NA,NA,NA,NA,8,6,2,1,7,0,2020-08-23 06:50:25,0,0,8,22.9,34995,2.9,0,0,13.7,0
85508,NA,"Rokiškio r.",NA,NA,NA,NA,5,1,4,0,5,0,2020-08-23 06:50:26,0,0,5,17.8,28070,0,0,0,13.7,0
85509,NA,"Šakių r.",NA,NA,NA,NA,10,5,5,2,7,1,2020-08-23 06:50:27,0,0,10,37.5,26698,7.5,2,7.5,13.7,0
85510,NA,"Panevėžio r.",NA,NA,NA,NA,15,8,7,5,9,1,2020-08-23 06:50:28,0,0,15,42.5,35324,14.2,3,8.5,13.7,0
85511,NA,"Trakų r.",NA,NA,NA,NA,26,13,13,16,10,0,2020-08-23 06:50:29,0,0,26,79.9,32546,49.2,11,33.8,13.7,0
85512,NA,"Kupiškio r.",NA,NA,NA,NA,7,4,3,4,3,0,2020-08-23 06:50:30,0,0,7,42.8,16356,24.5,4,24.5,13.7,0
85513,NA,"Skuodo r.",NA,NA,NA,NA,3,1,2,0,3,0,2020-08-23 06:50:30,0,0,3,18.7,16078,0,0,0,13.7,0
85514,NA,"Palangos m.",NA,NA,NA,NA,12,6,6,1,10,1,2020-08-23 06:50:31,0,0,12,74.8,16046,6.2,0,0,13.7,0
85515,NA,"Pagėgių",NA,NA,NA,NA,1,0,1,0,1,0,2020-08-23 06:50:32,0,0,1,13.7,7288,0,0,0,13.7,0
85516,NA,"Šalčininkų r.",NA,NA,NA,NA,28,9,19,5,23,0,2020-08-23 06:50:33,0,0,28,91.7,30520,16.4,2,6.6,13.7,0
85517,NA,"Vilniaus r.",NA,NA,NA,NA,321,123,198,40,274,3,2020-08-23 06:50:34,0,0,321,320.5,100158,39.9,6,6,13.7,4
85518,NA,"Švenčionių r.",NA,NA,NA,NA,11,7,4,0,11,0,2020-08-23 06:50:35,0,0,11,48,22932,0,0,0,13.7,0
85519,NA,"Zarasų r.",NA,NA,NA,NA,5,5,0,3,2,0,2020-08-23 06:50:36,0,0,5,33.5,14916,20.1,3,20.1,13.7,0
85520,NA,"Kėdainių r.",NA,NA,NA,NA,14,7,7,4,10,0,2020-08-23 06:50:37,0,0,14,30.9,45285,8.8,2,4.4,13.7,0
85521,NA,"Ukmergės r.",NA,NA,NA,NA,92,29,63,3,79,9,2020-08-23 06:50:38,0,0,92,274.9,33471,9,3,9,13.7,1
85522,NA,"Kelmės r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-08-23 06:50:39,0,0,3,11.8,25382,0,0,0,13.7,0
85523,NA,"Širvintų r.",NA,NA,NA,NA,20,11,9,0,19,0,2020-08-23 06:50:40,0,0,20,132.7,15076,0,0,0,13.7,1
85524,NA,"Kalvarijos",NA,NA,NA,NA,5,2,3,0,4,0,2020-08-23 06:50:41,0,0,5,49.1,10190,0,0,0,13.7,1
85525,NA,"Kauno r.",NA,NA,NA,NA,85,44,41,61,24,0,2020-08-23 06:50:42,0,0,85,88.1,96441,63.3,43,44.6,13.7,0
85526,NA,"Šilutės r.",NA,NA,NA,NA,10,7,3,3,7,0,2020-08-23 06:50:43,0,0,10,26.6,37637,8,2,5.3,13.7,0
85527,NA,"Tauragės r.",NA,NA,NA,NA,18,10,8,7,11,0,2020-08-23 06:50:44,0,0,18,47.6,37805,18.5,7,18.5,13.7,0
85528,NA,"Lazdijų r.",NA,NA,NA,NA,6,3,3,0,6,0,2020-08-23 06:50:44,0,0,6,32.7,18331,0,0,0,13.7,0
85529,NA,"Jurbarko r.",NA,NA,NA,NA,3,1,2,1,2,0,2020-08-23 06:50:45,0,0,3,12.1,24822,4,0,0,13.7,0
85530,NA,"Elektrėnų",NA,NA,NA,NA,12,4,8,7,5,0,2020-08-23 06:50:46,0,0,12,50,23992,29.2,3,12.5,13.7,0
85531,NA,"Neringos",NA,NA,NA,NA,1,1,0,0,1,0,2020-08-23 06:50:47,0,0,1,28.3,3530,0,0,0,13.7,0
85532,NA,"Mažeikių r.",NA,NA,NA,NA,10,5,5,3,6,1,2020-08-23 06:50:48,0,0,10,19.6,51067,5.9,2,3.9,13.7,0
85533,NA,"Ignalinos r.",NA,NA,NA,NA,24,11,13,15,9,0,2020-08-23 06:50:49,0,0,24,166.3,14433,103.9,0,0,13.7,0
85534,NA,"Telšių r.",NA,NA,NA,NA,11,6,5,0,9,2,2020-08-23 06:50:50,0,0,11,28,39317,0,0,0,13.7,0
85535,NA,"Plungės r.",NA,NA,NA,NA,8,5,3,0,8,0,2020-08-23 06:50:51,0,0,8,24.3,32987,0,0,0,13.7,0
85536,NA,"Kretingos r.",NA,NA,NA,NA,64,24,40,2,58,4,2020-08-23 06:50:52,0,0,64,171,37427,5.3,1,2.7,13.7,0
85537,NA,"Varėnos r.",NA,NA,NA,NA,1,1,0,0,0,1,2020-08-23 06:50:52,0,0,1,4.8,20840,0,0,0,13.7,0
85538,NA,"Alytaus r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-08-23 06:50:53,0,0,7,27,25887,0,0,0,13.7,0
85539,NA,"Raseinių r.",NA,NA,NA,NA,7,1,6,1,5,1,2020-08-23 06:50:54,0,0,7,22.4,31225,3.2,0,0,13.7,0
85540,NA,"Vilniaus m.",NA,NA,NA,NA,704,324,379,246,428,22,2020-08-23 06:50:56,0,0,704,125.3,562030,43.8,120,21.4,13.7,7
85541,NA,"Šilalės r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-08-23 06:50:57,0,0,3,13.7,21887,0,0,0,13.7,0
85542,NA,"Klaipėdos m.",NA,NA,NA,NA,318,117,201,39,261,18,2020-08-23 06:50:58,0,0,318,213.2,149157,26.1,29,19.4,13.7,0
85543,NA,"Visagino",NA,NA,NA,NA,11,6,5,6,5,0,2020-08-23 06:50:59,0,0,11,60.3,18250,32.9,1,5.5,13.7,0
85544,NA,"Pasvalio r.",NA,NA,NA,NA,5,3,2,2,3,0,2020-08-23 06:51:00,0,0,5,21.9,22816,8.8,1,4.4,13.7,0
85545,NA,"Panevėžio m.",NA,NA,NA,NA,71,36,35,24,46,1,2020-08-23 06:51:01,0,0,71,82.7,85878,27.9,9,10.5,13.7,0
85546,NA,"Šiaulių m.",NA,NA,NA,NA,25,14,11,9,15,1,2020-08-23 06:51:02,0,0,25,24.6,101514,8.9,6,5.9,13.7,0
85547,NA,"Birštono",NA,NA,NA,NA,0,0,0,0,0,0,2020-08-23 06:51:02,0,0,0,0,4069,0,0,0,13.7,0
85548,NA,"Pakruojo r.",NA,NA,NA,NA,1,0,1,1,0,0,2020-08-23 06:51:03,0,0,1,5.4,18606,5.4,1,5.4,13.7,0
61,NA,"Kita",NA,NA,NA,NA,1,0,0,0,0,0,2020-08-23 06:55:35,0,0,1,0,0,0,0,0,13.7,0
