"educational_institution","confirmed_students","confirmed_all","first_case","last_case","NA"
"Viduklės Simono Stanevičiaus gimnazijos Gylių skyrius","","3","tikslinama","2020-09-28","2020-10-01"
"Radviliškio rajono „Pažinimo licėjus“","","1","0","2020-09-28","-"
"Vilniaus lopšelis-darželis „Ąžuolas“","","1","tikslinama","2020-09-28","-"
"Kauno „Saulės“ gimnazija","3","","0","2020-09-28","2020-10-15"
"Raseinių rajono Ariogalos gimnazija","4","3","tikslinama","2020-09-27","2020-10-10"
"Giedraičių Antano Jaroševičiaus gimnazijos Joniškio skyrius (Molėtų rajonas)","1","1","0","2020-09-03","-"
"Vilniaus Gerosios Vilties progimnazija","","1","tikslinama","2020-09-27","-"
"Kauno Bernardo Brazdžionio mokyklos lopšelis-darželis","1","","tikslinama","2020-09-27","-"
"Kauno Suzukio pradinė mokykla","1","","tikslinama","2020-09-27","-"
"Raseinių r. Betygalos Maironio gimnazija","1","5","97","2020-09-25","2020-10-10"
"Vilniaus lopšelis-darželis „Spragtukas“","","1","tikslinama","2020-09-26","-"
"Panevėžio Kazimiero Paltaroko gimnazija","1","","0","2020-09-26","-"
"Šiaulių r. Aukštelkės mokykla-daugiafunkcis centras","1","","tikslinama","2020-09-27","-"
"Telšių Vincento Borisevičiaus gimnazija","1","","28","2020-09-25","-"
"Raseinių vaikų darželis ,,Liepaitė“","1","2","0","2020-09-25","2020-09-28"
"Ukmergės Dukstynos pagrindinė mokykla","1","","tikslinama","2020-09-25","-"
"Kauno Jono Jablonskio gimnazija","1","","tikslinama","2020-09-25","-"
"Mažeikių Kalnėnų progimnazija","1","","tikslinama","2020-09-25","-"
"Kupiškio r. Alizavos pagrindinė mokykla","1","","14","2020-09-25","-"
"Kėdainių r. Krakių Mikalojaus Katkaus gimnazija","1","2","tikslinama","2020-09-26","2020-09-28"
"Vilniaus Antakalnio gimnazija","2","","tikslinama","2020-09-25","2020-09-29"
"Radviliškio lopšelis-darželis „Žvaigždutė“","","1","21","2020-09-24","-"
"Radviliškio Vinco Kudirkos progimnazija","1","1","0","2020-09-24","2020-09-30"
"Raseinių r. Nemakščių Martyno Mažvydo gimnazija","3","1","tikslinama","2020-09-24","2020-10-12"
"Raseinių Viktoro Petkaus pagrindinė mokykla","5","2","tikslinama","2020-09-24","2020-10-12"
"Radviliškio r. Šiaulėnų Marcelino Šikšnio gimnazija","1","","25","2020-09-24","-"
"Kauno „Vyturio“ gimnazija","1","","31","2020-09-24","-"
"Raseinių r. Šiluvos gimnazija","1","1","tikslinama","2020-09-24","-"
"American International School of Vilnius","2","","37","2020-09-23","2020-09-25"
"Šiaulių lopšelis-darželis „Rugiagėlė“","","1","tikslinama","2020-09-23","-"
"Kauno Erudito licėjus","15","3","28","2020-09-23","2020-10-06"
"Vilniaus M. Biržiškos progimnazija","1","","38","2020-09-23","-"
"Raseinių Technologijų ir Verslo mokykla","1","1","15","2020-09-23","2020-09-25"
"Panevėžio J. Miltinio gimnazija","10","1","90","2020-09-23","2020-10-07"
"Radviliškio r. Sidabravo gimnazija","","1","17","2020-09-23","-"
"Šiaulių r. Voveriškių lopšelis-darželis","","1","tikslinama","2020-09-23","-"
"Kauno r. Girionių vaikų darželis","","1","13","2020-09-22","-"
"Kauno r. Domeikavos gimnazija","","1","tikslinama","2020-09-22","-"
"Vilniaus rajono Riešės gimnazija","1","","24","2020-09-21","-"
"Kaišiadorių r. Rumšiškių Antano Baranausko gimnazija","","1","137","2020-09-21","-"
"Kauno lopšelis-darželis „Žilvinėlis“","","1","tikslinama","2020-09-20","-"
"Panevėžio lopšelis-darželis „Pušynėlis“","","1","tikslinama","2020-09-20","-"
"Rokiškio Juozo Tumo-Vaižganto gimnazija","1","","25","2020-09-20","-"
"Šiaulių J. Janonio gimnazija","1","","tikslinama","2020-09-20","-"
"Kelmės r. Aukuro pagrindinė mokykla","1","","22","2020-09-20","-"
"Šiaulių lopšelis-darželis„Drugelis“","","1","20","2020-09-20","-"
"Raseinių r. Viduklės S. Stanevčiaus gimnazijos darželis","1","12","tikslinama","2020-09-20","2020-10-07"
"Mažeikių r. Viekšnių gimnazija","1","","14","2020-09-20","-"
"Švenčionių r. Švenčionėlių Karaliaus Mindaugo gimnazija","5","1","100","2020-09-20","2020-10-15"
"Žirmūnų profesinio rengimo centras","2","1","tikslinama","2020-09-20","2020-09-26"
"Raseinių r. Viduklės S. Stanevičiaus gimnazija","4","8","","2020-09-19","2020-10-07"
"Radviliškio Lizdeikos gimnazija","2","","0","2020-09-19","2020-10-03"
"Klaipėdos Gilijos pradinės mokykla","2","","25","2020-09-19","2020-10-17"
"Ukmergės Antano Smetonos gimnazija","2","","","2020-09-19","2020-09-25"
"Kelmės Kražantės progimnazija","","1","","2020-09-19","-"
"Vilkaviškio r. Pilviškių Santakos gimnazija","1","","","2020-09-19","-"
"Kėdainių J. Paukštelio progimnazija","","1","","2020-09-18","-"
"Kauno K. Griniaus progimnazija","10","","33","2020-09-18","2020-10-07"
"Grigiškių „Šviesos“ gimnazija(Vilnius)","1","","31","2020-09-18","-"
"Šiaulių lopšelis-darželis „Kregždutė“","1","2","","2020-09-18","2020-09-23"
"Šiaulių lopšelis-darželis „Trys nykštukai“","1","1","21","2020-09-18","2020-09-24"
"Šiaulių lopšelis-darželis „Bitė“","1","3","17","2020-09-18","2020-10-10"
"Švenčionių profesinio rengimo centras","","2","2","2020-09-16","2020-09-17"
"Kauno „Aleksoto“ darželis-lopšelis","","4","","2020-09-17","2020-10-17"
"Kauno lopšelis-darželis „Spindulėlis“","","1","9","2020-09-17","-"
"Klaipėdos Martyno Mažvydo progimnazija","1","","0","2020-10-16",""
"Marijampolės Petro Armino progimnazija","","1","112","2020-09-17","-"
"Marijampolės Marijonų gimnazija","","1","164","2020-09-17","-"
"Mažeikių „Ventos“ progimnazija","1","","31","2020-09-17","-"
"Vilniaus „Vyturio“ pradinė mokykla","1","","0","2020-09-17","-"
"Vilniaus S. Konarskio gimnazija","1","","0","2020-09-16","-"
"Šiaulių universitetinė gimnazija","1","","0","2020-09-16","-"
"Panevėžio „Šaltinio“ progimnazija","","3","0","2020-09-15","2020-10-07"
"Švenčionių Zigmo Žemaičio gimnazija","2","","68","2020-09-14","2020-10-11"
"Šiaulių r. Ginkūnų Sofijos ir Vladimiro Zubovų mokykla","","1","5","2020-09-13","-"
"M. Račkausko gimnazija (Mažeikių r.)","1","","81","2020-09-13","-"
"Klaipėdos „Saulėtekio“ progimnazija","","1","4","2020-09-13","-"
"Vilniaus Simono Stanevičiaus progimnazija","1","2","28","2020-09-13","2020-09-19"
"Klaipėdos licėjus","1","1","15","2020-09-12","2020-06-17"
"Jovaro progimnazija (Šiauliai)","2","1","23","2020-09-11","2020-10-17"
"Kudirkos progimnazija (Šiauliai)","1","","0","2020-09-11","-"
"Panevėžio Vilties progimnazija","1","","30","2020-09-11","-"
"Viešvilės pagrindinė mokykla (Jurbarko r.)","1","","9","2020-09-11","-"
"Gabijos progimnazija (Vilnius)","14","1","96","2020-09-12","2020-09-20"
"Panevėžio „Šviesos“ specialiojo ugdymo centras","","1","10","2020-09-09","-"
"Juodupės gimnazija (Rokiškio r.)","1","3","6","2020-09-09","2020-09-23"
"Klaipėdos „Versmės“ progimnazija","1","","30","2020-09-08","-"
"Lopšelis/darželis „Gintarėlis“ (Gargždai)","1","","24","2020-09-08","-"
"Prezidento Jono Žemaičio gimnazija (Raseiniai)","9","1","41","2020-09-07","2020-10-10"
